username,date,content,video_title
@marekcygan8551,11 years ago,Brian Christopher wtf is bible ??????????????????????????? is that something like star wars ???????????? superman ????? batman ???,Madonna - Living For Love
@wyccsivan9440,5 years ago,Girl gone Wild 😍 Batuka 😍 God Control 😍 Hung Up 😍 Like a Prayer 😍 Papa don't Preach 😍 Living for Love 😍 Like a Virgin 😍 Ghosttown 😍 Material Girl 😍 Frozen 😍,Madonna - Girl Gone Wild
@hi_hello7410,3 months ago,😊,Madonna - Vogue (Live at the MTV Awards 1990) [Official Video]
@velikimilos,6 years ago (edited),"Because she was already old enough to be hot. The same happened to song ""Ghosttown"" from her next album, for example. I am her fan, btw.",Madonna - Girl Gone Wild
@blamdeeyrann4240,5 years ago,<3,Madonna - Music (Official Video)
@sandyplayz8391,1 year ago,I summon you,Madonna - Like A Prayer (Choir Version) [Vinyl Visualizer]
@silviofernandes3217,1 year ago,"FALTOU 
Falar da DEBBY MAZAR",Madonna - True Blue (Official Video)
@GruhowsKing,1 year ago,Cow dance😊😊😊,Madonna - Back That Up To The Beat (Official Lyric Video)
@TheresaDelPorto,1 year ago,Eu...💋,Madonna - Nothing Really Matters (Official Video) [HD]
@ozeiaoliveira7847,1 year ago,Love,Madonna - Nothing Really Matters (Official Video) [HD]
@gretellinetcalixto799,2 years ago,La mía fue material girl😊😮,Madonna - Hung Up (Official Video) [HD]
@8tsunami7,2 years ago,"This applies to a lot of 90s and 2000s music, though.",Madonna - Jump (Official Video) [HD]
@crimesloucos.1048,9 years ago,she never left,Madonna feat. M.I.A. and Nicki Minaj - Give Me All Your Luvin' (Official Video) [HD]
@e5714356,4 months ago,"我出生於1971年,中文稱為""70後"" ,已經是個中年大叔了,我不會說英文,但是瑪丹娜的歌含專輯幾乎佔據了我整個""青少年時期"" ,她的歌有著我年少時的青春回憶,留言支持一下😘",Madonna - Who's That Girl (Official Video)
@jamesbarrymaxfield3117,7 months ago,Here,Madonna - Like A Virgin (Official Video)
@MrImagayguy,11 years ago,"David Rodriguez Manriquez That's nice lol. Too bad talent isn't measured by numbers and Gaga DESTROYS Madge in that department. Unless you count writing around on stage with dust flying out your wrinkles as talent, then Madonna wins.",Madonna - Express Yourself (Official Video)
@nicolashidalgoamorrortu5546,5 years ago (edited),"This song, this video and the entire Ray of Light album are legendary",Madonna - Nothing Really Matters (Official Video) [HD]
@mawinstallation6626,1 year ago,GOGOL BORDELLO SOLOS THE VERSE,Madonna feat. Gogol Bordello - La Isla Bonita (Live Earth 2007)
@DOLCENERD95,3 months ago,"Guys this song would be perfect for GTA 6, especially when Lucia Camino's and Jason Duvall dance in disco.",Madonna - Celebration (Official Video)
@sarascialdoni.,10 months ago,❤,Madonna - Express Yourself (Official Video)
@robynsegg,1 year ago,YES IT WAS!!!!,Madonna - Ray Of Light (Official Video) [HD]
@alisonosullivan613,6 years ago," @handzam   ok fea
k",Madonna - Papa Don't Preach (Official Video) [HD]
@AquilesNazoa2623,2 months ago,"Not everyone likes this video or this song; in fact, the song and the video are rubbish.",Madonna - Like A Prayer (Official Video)
@johnb.dambrosio2286,3 months ago (edited),"​​ @Ciclopea2 It is very similar to Vogue/Material Girl in video, bpm, and artistry.",Madonna - Girl Gone Wild (Official Video)
@TimothyMcCreary-v8w,3 weeks ago,I remember all the girls in the 80's dressed like Madonna and wanted to be her. Madonna the queen of pop 😊,Madonna - Who's That Girl (Official Video)
@adrianna.0218,5 years ago,G Alpha no,Madonna - Hung Up (Official Video) [HD]
@moester75,3 years ago,It’s because you two loved each other back in 85 when y’all were still kinda innocent. I’m happy for you dude from a fellow generation X’er.,Madonna - Crazy For You (Official Video)
@Rina25tir,6 years ago," @walter_cascia  si, la serie. la mejor.",Madonna - Don't Cry For Me Argentina (Official Video)
@JUNEORJUNE,8 years ago,MJ,Madonna - Rain (Official Video) [HD]
@AlleyandGrey,6 months ago,I miss you Nan...😔,Madonna - Lucky Star (Official Video)
@rebello3973,6 years ago,It's perfection.,Madonna - Don't Tell Me (Official Video) [HD]
@JustSomeScottishFell,10 years ago,"SIMON Gill Actually, Gaga has sold 30 million albums. But you're comparing an album released in the digital age compared to an album that was released in an era where you HAD to buy the physical copy. People don't realise how illegal downloading has changed this industry, no one and I repeat no one will ever sell the amount of albums that used to be sold.",Madonna - Express Yourself (Official Video)
@TheresaDelPorto,1 year ago,Aqui Brasil. 💋,Madonna - Nothing Really Matters (Official Video) [HD]
@mattwarnes6900,1 year ago,This version just hits different. It's almost perfect,Madonna - Like A Prayer (Choir Version) [Vinyl Visualizer]
@eshag1,1 year ago,Seriously. Also thought the same. I came here after watching the I’ll remember video and thinking the same thing about watching these on MTV and VH1,Madonna - Take A Bow (Official Video) [4K]
@warrengomez67,2 years ago,Yep.,Madonna - Don't Tell Me (Official Video) [HD]
@oldbrickfactory,6 years ago,And now you are a father,Madonna - Hung Up (Official Video) [HD]
@whateverman.9505,5 years ago,me dad's the lion,Madonna - Like A Virgin (Official Video)
@vinnynicholas7764,5 years ago,I told you I'm the happiest person in the whole wide world nothing let me down God is good,Madonna - Hung Up (Official Video) [HD]
@JooHyrule,10 years ago,Osvaldo Morales shakira? who is shakira? xD,Madonna - Ghosttown
@kuthreehdegone9583,5 years ago,Fantastic,Madonna feat. M.I.A. and Nicki Minaj - Give Me All Your Luvin' (Official Video) [HD]
@anthonyjohnj.8984,4 months ago,Well said,Madonna - Live To Tell (Official Video)
@JorgeAvila-uf5zk,1 year ago,Are you Cher making a comment about Vogue?,"Madonna - Vogue (12"" Remix) [Official Video]"
@dontplz,2 years ago (edited)," @gustav_15  if u think that, you truly don't understand this song.",Madonna - What It Feels Like For A Girl (Official Video) [HD]
@jeanjoly6784,3 years ago,From where un Côme from bac seeds dont gros,Madonna - Don't Cry For Me Argentina (Official Video)
@CookieMonster-cc3sx,1 year ago,"Goosebumps after goosebumps after goosebumps.

I've been a choir member since grade school, and I hope one day I'll become a part of singing this song on this level.",Madonna - Like A Prayer (Choir Version) [Vinyl Visualizer]
@misschanandlerbong1621,1 month ago," @MichelleN28 babe, not a few. a lot. and also, alot from the 90s",Madonna - Open Your Heart (Official Video) [HD]
@givs4860,5 years ago,someone should remake this ASAP,Madonna - Express Yourself (Official Video)
@GelsonDeSouzaIgnácio,1 year ago,Daki 2029 OK,Madonna - Sorry (Official Video) [HD]
@movicgraphart,2 years ago (edited),"Oh man me too, it's impossible not to turn it up every time that epic moment breaks.",Madonna - What It Feels Like For A Girl (Official Video) [HD]
@InglididCurbani-i2o,1 year ago,"Eulnglidis curbani 
Pois essa linda música cantada pela essa cantora Madonna hoje ela está com uma idade maravilhosa a idade que virou uma mulher madura uma mulher que sabe aonde pisa e com quem anda uma mulher que realizou tudo o que queria significa que ela começou do nada e se tornou um tudo 
E o sonho maior dela era de ser mãe e ela conseguiu hoje ela a mãe de um adolescente lindo e maravilhoso 
Esse adolescente respeita a mãe l por respeitá-la e um rala porque ela não mediu a seus atos e suas ações para poder protegê-lo de um tudo e de todos 
Significa ela protegeu da sociedade a qual ela pertence 
Seja a sociedade dos psicopatas e a sociedade do narcisista 
Pois tá aí essa mulher qual é a sua idade madura com essa idade a qual adquiriu experiências e ela nunca escondeu de ninguém quem é a mulher de antigamente e a mulher a qual é a atual hoje 
Seja ela mudou sim só o rosto e o corpo mas ela não mudou a integridade a dignidade ou respeito à educação e a honra 
Esse relato é para você Madonna oficial 
E suas covers e as suas dublês 
Significa que a sociedade a reconheceu como a mulher mais linda do mundo devido a sua dança 
Pois você viu a capacidade a qual você tem até hoje deu a direção alcançou objetivo eu fiz e o mostrou 
A fé ela faz tudo 

Pois você acreditou em si mesma acreditou no criador e ele fez você 
Pois você se tornou pois você se tornou uma estrela por qual brilha até hoje seja a estrela qual era a menina e a estrela a qual hoje é a idade mas ela não perdeu o brilho nem a menina nem adolescente minha mulher e nem a idade",Madonna - Papa Don't Preach (Official Video) [HD]
@CarlosToledo-qw1rk,1 year ago,"@stephenconnell  I am in Kaballah, i am research in.my country about that subject Guatemala 🇬🇹 and other topics!!!",Madonna - Frozen (Official Video) [HD]
@youdbettertube,6 years ago," @Mexxconnection  madonna could just fart over a 4/4 beat and it'd hit number one on the hot dance chart, we stan",Madonna - Don't Tell Me (Official Video) [HD]
@Tony.Loveless.,2 years ago (edited),"Raven black hair goth Madonna makes rare appearances, but I love her when she does.",Madonna - Frozen (Official Video) [HD]
@clintoncross74,11 years ago,They are trying to stop everyone from putting the Grammys up.  I'm in Australia watched it 2 times now.  Only lunch time here but gets deleted all the time.  I thought it was a great performance . But I think she needed more stage as I felt she was limited to space.  But I never watch the Grammys anyway.  Only if Madonna is only on anyway lol.  ,Madonna - Living For Love
@pajasa62,4 years ago," @roncerod  
What's funny... I had listened and ""knew"" Shoo Bee Doo, but it took me 30 YEARS to realize what I great song it was.",Madonna - True Blue (Official Video)
@Kos4Evr,1 year ago,Its a shame that she now hates everything she represented back then,Madonna - Like A Prayer (Choir Version) [Vinyl Visualizer]
@GregNoahKogkalidis,3 years ago,"Madonna slaying at 48 years old back in 2006. The music, the moves, the attitude, the swag, a real queen at the top of her game, now in HD and still iconic 👑 🔝💜",Madonna - Sorry (Official Video) [HD]
@lukefoster8469,7 years ago,Dartelive dyna me,Madonna - Music (Official Video)
@kuDeg,6 years ago,me too!,Madonna - Jump (Official Video) [HD]
@brianmerritt5410,1 year ago,Katy Perry tried to measure up riding her tiger out but I think a Pharaoh's throne pulled by glistening muscular Spartans wins.,Madonna - 2012 Super Bowl Halftime Show
@Skelee2,1 year ago,Cuz it's the same sount track from abba,Madonna - Hung Up (Official Video) [HD]
@JohnPiperBoots,4 years ago,QUESTION PLEASE - WHICH LADY IS IN TEAL SHIRT?????????? Left Middle or Right - thanks! SAome claims it is her Mom. ;),Madonna - True Blue (Official Video)
@silvercrystal3,4 years ago,"Parrot#1: I'm a parrot
Parrot#2: I'm a parrot
Parrot#3: I'm a parrot
Carrot#1: I'm a VEGETABLE",Madonna - Frozen (Official Video) [HD]
@laurabrenton7537,2 years ago,me!,Madonna - 2012 Super Bowl Halftime Show
@Geraldinemarillosa,2 years ago,This song is 😢 still remember my ex.. Feel so stupid,Madonna - Crazy For You (Official Video)
@RogerTeresak,9 months ago,Am from Sweden and iam here. June 12th 2025 . ❤,Madonna - Like A Virgin (Official Video)
@ОльгаДудышева-г2ы,2 years ago,🇷🇺 ❤,Madonna - You'll See (Official Video)
@krystalship6245,8 months ago,I was just a little girl full of dreams! Now this is my song to do the stair master to wake up and rock😅,Madonna - Dress You Up (Official Video)
@puccamica69,2 months ago,late 90s + early 00s 🥹🩷,Madonna - Beautiful Stranger (Official Video) [HD]
@itac4880,3 years ago,madonna was always ahead of her time. That is what I admire the most from her,Madonna - Papa Don't Preach (Official Video) [HD]
@Bianca-qs5vl,6 years ago,tbm mano... que saudade,Madonna - American Pie (Official Video) [HD]
